MAC,acc
15489977.0, 91.5
15907745.0, 92.16
16372696.0, 92.62
16925568.0, 92.87
17528424.0, 93.07
18140346.0, 93.13
18798610.0, 93.08
19529596.0, 93.26
20325358.0, 93.25
21204088.0, 93.3
22089208.0, 93.31
22982704.0, 93.3
23820552.0, 93.27
24639382.0, 93.22
25503124.0, 93.23
26340516.0, 93.25
27172072.0, 93.23
27978840.0, 93.22
28659014.0, 93.22
29441984.0, 93.22
30207596.0, 93.22
30943740.0, 93.22
31374134.0, 93.22
31957138.0, 93.22
32667350.0, 93.22
32813548.0, 93.22
33014818.0, 93.22
33994372.0, 93.22
34406472.0, 93.22
34449552.0, 93.22
34480492.0, 93.22
34537488.0, 93.22
34554616.0, 93.22
34613752.0, 93.22
35455684.0, 93.22
35515440.0, 93.22
35579808.0, 93.22
35642512.0, 93.22
35644080.0, 93.22
