MAC,acc
15502680.0, 91.5
15868031.0, 92.06
16372618.0, 92.58
16918516.0, 92.84
17478186.0, 93.07
18067980.0, 93.09
18806688.0, 93.07
19541630.0, 93.26
20332334.0, 93.26
21125800.0, 93.26
21951928.0, 93.26
22957674.0, 93.26
23828902.0, 93.26
24685832.0, 93.26
25531536.0, 93.26
26337418.0, 93.26
27181540.0, 93.26
27989114.0, 93.26
28688484.0, 93.26
29509490.0, 93.26
30258050.0, 93.26
30897152.0, 93.26
31381944.0, 93.26
31800976.0, 93.26
32433912.0, 93.26
32970560.0, 93.26
33230672.0, 93.26
33984172.0, 93.26
34403968.0, 93.26
34444868.0, 93.26
34489384.0, 93.26
34516388.0, 93.26
34597504.0, 93.26
34615216.0, 93.26
35489508.0, 93.26
35537368.0, 93.26
35615788.0, 93.26
35617360.0, 93.26
35700360.0, 93.26
