MAC,acc
15469913.0, 64.42
15887762.0, 64.97
16424354.0, 65.66
16975744.0, 66.38
17553118.0, 67.0
18279172.0, 67.76
19097880.0, 68.71
20004024.0, 69.33
21009614.0, 70.11
22179658.0, 71.03
23237172.0, 71.48
24576068.0, 72.12
25826506.0, 72.56
27212136.0, 73.1
28651092.0, 73.41
30078472.0, 73.91
31485616.0, 74.12
32821464.0, 74.21
34218560.0, 74.17
35621528.0, 74.22
36865364.0, 74.15
38061280.0, 74.22
39241728.0, 74.15
40362008.0, 74.03
41392160.0, 74.07
42248736.0, 74.03
43190660.0, 73.92
44017792.0, 73.95
44780380.0, 73.93
45482928.0, 73.89
46165304.0, 73.88
46769912.0, 73.86
47298800.0, 73.85
47902240.0, 73.86
48395400.0, 73.83
48834280.0, 73.82
49341456.0, 73.8
49792592.0, 73.79
50198680.0, 73.79
